Parent,Child,Conversion,Parent Description,Child Description,Parent QSU,Child QSU,Parent SU,Child SU
10010072,10010031,Review,,"PARENT IS 6x1L, CHILD IS SAME PART IN EACH",,,,
10010049,10010023,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
70013073,70013032,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
14200166,14200075,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
21063045,21063029,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
11965118,11965092,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
11965126,11965084,Review,,"PARENT IS 6x1L, CHILD IS SAME PART IN EACH",,,,
11330057,11330032,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
11320082,11320033,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
11090099,11090081,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
21575097,21575022,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
12492021,12492013,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
42360081,42360024,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
12338026,12338018,Review,,"PARENT IS 6x1L, CHILD IS SAME PART IN EACH",,,,
A4000135505,A4000135501,Review,,"PARENT IS 6x1L, CHILD IS SAME PART IN EACH",,,,
14170161,14170112,Review,,"PARENT IS 10x500ML, CHILD IS SAME PART IN EACH",,,,
